dish_name,score,lemmas
dish_name,count,dish_name
"Paprikás burgonya, füstölt kolbásszal",11,"paprikás burgonya , füstölt kolbász"
Harcsapaprikás galuskával,11,Harcsapaprikás galuska
Lencse krémleves,11,Lencse krémleves
"Kemencés libacomb vagy kacsacomb krokettel, fahéjas sült almával",11,"kemencés libacomb vagy kacsacomb kroket , fahéjas sült alma"
Pontypaprikás kapros túrós csuszával,11,Pontypaprikás kapros túrós csusza
Carbonara penne,11,Carbonara pesz
"Rántott karfiol és brokkoli, rizibizi, tartár",11,"rántott karfiol és brokkoli , rizibizi , tartár"
"Csőben sült brokkoli, vasalt csirkecombbal",10,"cső sült brokkoli , vasalt csirkecomb"
Meggymártás rántott jércemell,10,meggymártás rántott jércemell
"Magyaróvári sertéskaraj, petrezselymes burgonya",10,"Magyaróvári sertéskaraj , petrezselymes burgonya"
Bakonyi sertés szelet tésztával,10,bakonyi sertés szél tészta
Holstein szelet hasábburgonya,10,Holstein szél hasábburgonya
"Piszkeszósz, Párizsi szelet",10,"Piszkeszósz , Párizsi szelet"
Lecsós tarja tarhonyával,10,Lecsós tar tarhonya
"Burgonyafőzelék, fasírttal",10,"Burgonyafőzelék , fasírt"
Bakonyi sertéskaraj galuskával,10,Bakonyi sertéskaraj galuska
Csk burger,10,Csk burger
"Finomfőzelék, kolbásszal töltött karaj",10,"Finomfőzelék , kolbász töltött karaj"
"Budapest szelet, rizzsel",10,"Budapest szél , rizzsel"
Burgonya gombóc leves,10,burgonya gombóc leves
"Vadas sertés java, zsemlegombóc, csőtészta",10,"Vadas sertés java , zsemlegombóc , csőtészta"
"Kelkáposzta főzelék, fasírt",10,"Kelkáposzta főzelék , fasírt"
Kelvirágleves,10,Kelvirágleves
"Zöldborsó főzelék, sült csirkecomb",10,"Zöldborsó főzelék , sült csirkecomb"
"Gyümölcsleves, bisztró burger",10,"gyümölcsleves , bisztró burger"
Chilis bab tejföllel,10,Chilis bab tejföl
"Roston csirkemell, sajtmártás, krokett",10,"Roston csirkemell , sajtmártás , krokett"
Konyhakerti gulyás,10,Konyhakerti gulyás
"Paradicsomos húsgombóc, főtt burgonya",10,"Paradicsomos húsgombóc , főtt burgonya"
B.u.é.k,10,B.u.é.k
"Csirkepörkölt, nokedli",10,"Csirkepörkölt , nokedli"
Töltött paprika paradicsommártással,10,töltött paprika paradicsommártás
"Kalocsai harcsafilé, rizs",10,"kalocsai harcsafilé , rizs"
"Almafőzelék, Párizsi csirke",10,"Almafőzelék , Párizsi csirke"
"Burgonyafőzelék, fasírozott",10,"Burgonyafőzelék , fasírozott"
"Ananászos csirkemell, párolt rizs",10,"Ananászos csirkemell , párolt rizs"
"Rántott camembert, krokett, áfonya, barack",10,"rántott camember , krokett , áfonya , barack"
"Cordon Bleu, steakburgonya",10,"Cordon Bleu , steakburgonya"
